code,games,participants
CAN,1976 Summer,15

CAN,2002 Winter,37

CAN,1994 Winter,9

CAN,1998 Winter,33

CAN,1992 Summer,20

CAN,2016 Summer,59

CAN,1992 Winter,7

CAN,1928 Summer,7

CAN,1936 Summer,5

CAN,2004 Summer,7

CAN,1964 Winter,2

CAN,1988 Summer,13

CAN,2008 Summer,9

CAN,1972 Summer,2

CAN,1968 Summer,6

CAN,1956 Winter,2

CAN,1932 Summer,6

CAN,1948 Summer,4

CAN,1968 Winter,2

CAN,1960 Winter,2

CAN,1976 Winter,2

CAN,1956 Summer,1

CAN,1972 Winter,1

CAN,1988 Winter,4

CAN,1948 Winter,2

IRL,1948 Summer,1

IRL,2016 Summer,1

IRL,2000 Summer,1

IRL,1996 Summer,4

IRL,2012 Summer,1

AUS,2000 Summer,89

AUS,2004 Summer,62

AUS,2008 Summer,85

AUS,1964 Summer,11

AUS,1960 Summer,15

AUS,1996 Summer,72

AUS,2016 Summer,39

AUS,2012 Summer,65

AUS,1988 Summer,21

AUS,1968 Summer,11

AUS,1972 Summer,10

AUS,1984 Summer,11

AUS,2010 Winter,2

AUS,2014 Winter,2

AUS,2002 Winter,1

AUS,2006 Winter,1

AUS,1992 Summer,12

AUS,1956 Summer,21

AUS,1948 Summer,8

AUS,1932 Summer,2

AUS,1980 Summer,2

AUS,1952 Summer,4

AUS,1998 Winter,1

RSA,1956 Summer,4

RSA,1928 Summer,4

RSA,1952 Summer,3

RSA,1932 Summer,2

RSA,2012 Summer,2

RSA,1996 Summer,3

RSA,2000 Summer,2

RSA,1992 Summer,1

RSA,2016 Summer,2

RSA,2004 Summer,1

TUN,2016 Summer,2

TUN,2012 Summer,1

BEL,2008 Summer,5

BEL,1992 Summer,2

BEL,2000 Summer,4

BEL,2016 Summer,2

BEL,1984 Summer,2

BEL,2004 Summer,2

BEL,1948 Winter,1

BEL,1996 Summer,3

BEL,2012 Summer,2

KAZ,2012 Summer,6

KAZ,2016 Summer,8

KAZ,2008 Summer,4

KAZ,2010 Winter,1

KAZ,1998 Winter,1

KAZ,2000 Summer,1

IND,2012 Summer,2

IND,2016 Summer,2

IND,2000 Summer,1

SYR,1996 Summer,1

ETH,2012 Summer,5

ETH,2016 Summer,5

ETH,2004 Summer,4

ETH,2008 Summer,3

ETH,1996 Summer,2

ETH,1992 Summer,1

ETH,2000 Summer,3

INA,2016 Summer,2

INA,1988 Summer,3

INA,2000 Summer,4

INA,1996 Summer,2

INA,2008 Summer,2

INA,2004 Summer,1

INA,1992 Summer,1

PHI,2016 Summer,1

SGP,2008 Summer,3

SGP,2012 Summer,4

UZB,1994 Winter,1

UZB,2008 Summer,1

TJK,2012 Summer,1

EUN,1992 Winter,27

EUN,1992 Summer,90

JPN,1964 Summer,18

JPN,2012 Summer,53

JPN,2000 Summer,39

JPN,2004 Summer,39

JPN,1972 Summer,13

JPN,2006 Winter,1

JPN,1976 Summer,12

JPN,1992 Summer,10

JPN,1996 Summer,16

JPN,2010 Winter,4

JPN,2016 Summer,29

JPN,1984 Summer,15

JPN,2008 Summer,27

JPN,1968 Summer,9

JPN,1988 Summer,4

JPN,1992 Winter,2

JPN,1928 Summer,1

JPN,1932 Summer,1

JPN,1936 Summer,1

JPN,1998 Winter,2

JPN,2014 Winter,2

JPN,2002 Winter,1

JPN,1960 Summer,1

JPN,1994 Winter,1

SUI,2002 Winter,11

SUI,2014 Winter,23

SUI,2016 Summer,5

SUI,1996 Summer,4

SUI,2006 Winter,9

SUI,2000 Summer,8

SUI,1968 Winter,1

SUI,1998 Winter,1

SUI,1956 Winter,3

SUI,1984 Summer,3

SUI,1900 Summer,2

SUI,1936 Summer,1

SUI,1984 Winter,2

SUI,1988 Winter,7

SUI,1964 Summer,1

SUI,1968 Summer,1

SUI,1980 Winter,2

SUI,2008 Summer,2

SUI,1948 Winter,2

SUI,1972 Winter,2

SUI,2010 Winter,1

SUI,1976 Summer,3

SUI,1960 Winter,1

SUI,1994 Winter,3

SUI,2012 Summer,1

SUI,1988 Summer,2

SUI,2004 Summer,1

BRA,2012 Summer,18

BRA,1996 Summer,28

BRA,2000 Summer,28

BRA,2004 Summer,19

BRA,2008 Summer,35

BRA,2016 Summer,7

FRG,1984 Summer,51

FRG,1988 Summer,19

FRG,1976 Summer,11

FRG,1972 Summer,29

FRG,1968 Summer,10

FRG,1976 Winter,4

FRG,1968 Winter,3

FRG,1980 Winter,3

FRG,1972 Winter,1

FRG,1988 Winter,3

GDR,1972 Summer,49

GDR,1976 Summer,101

GDR,1980 Winter,12

GDR,1980 Summer,123

GDR,1988 Summer,93

GDR,1968 Summer,17

GDR,1976 Winter,10

GDR,1984 Winter,13

GDR,1988 Winter,14

GDR,1972 Winter,4

GDR,1968 Winter,1

ISR,1992 Summer,1

ISR,2016 Summer,1

SWE,1908 Summer,1

SWE,2002 Winter,24

SWE,2012 Summer,2

SWE,2000 Summer,10

SWE,1984 Summer,10

SWE,1992 Summer,6

SWE,1996 Summer,7

SWE,2006 Winter,32

SWE,2016 Summer,25

SWE,2004 Summer,4

SWE,1988 Summer,2

SWE,1920 Summer,7

SWE,1924 Summer,5

SWE,1952 Summer,8

SWE,1956 Summer,7

SWE,2014 Winter,13

SWE,1960 Summer,1

SWE,1956 Winter,4

SWE,1960 Winter,3

SWE,1980 Summer,6

SWE,1912 Summer,4

SWE,1928 Summer,3

SWE,1998 Winter,6

SWE,1964 Winter,3

SWE,1968 Winter,5

SWE,2010 Winter,9

SWE,1972 Summer,5

SWE,1936 Winter,1

SWE,2008 Summer,1

SWE,1976 Summer,1

SWE,1948 Summer,1

SWE,1994 Winter,2

SWE,1936 Summer,1

SWE,1992 Winter,1

SRI,2000 Summer,1

ARM,2012 Summer,1

CIV,2016 Summer,1

KEN,2000 Summer,1

KEN,2012 Summer,4

KEN,2016 Summer,7

KEN,2008 Summer,6

KEN,1996 Summer,1

KEN,2004 Summer,2

UKR,2008 Summer,15

UKR,1996 Summer,14

UKR,1994 Winter,2

UKR,2004 Summer,31

UKR,2012 Summer,16

UKR,2000 Summer,13

UKR,2014 Winter,5

UKR,2006 Winter,2

UKR,2016 Summer,6

UKR,1998 Winter,1

GBR,2012 Summer,50

GBR,2016 Summer,63

GBR,2014 Winter,6

GBR,2008 Summer,29

GBR,1912 Summer,10

GBR,2000 Summer,15

GBR,1948 Winter,1

GBR,1952 Winter,1

GBR,1964 Summer,8

GBR,1952 Summer,7

GBR,1956 Summer,9

GBR,1920 Summer,14

GBR,1992 Summer,24

GBR,2004 Summer,22

GBR,1924 Summer,14

GBR,1968 Summer,4

GBR,1908 Summer,13

GBR,1928 Summer,21

GBR,1936 Summer,5

GBR,1984 Summer,17

GBR,1936 Winter,1

GBR,2002 Winter,6

GBR,1900 Summer,2

GBR,1932 Summer,10

GBR,1980 Summer,13

GBR,1960 Summer,8

GBR,1948 Summer,6

GBR,1972 Summer,4

GBR,1988 Summer,6

GBR,1996 Summer,1

GBR,1924 Winter,1

GBR,2006 Winter,1

GBR,1984 Winter,1

GBR,1994 Winter,1

GBR,2010 Winter,1

LAT,2004 Summer,1

LAT,2014 Winter,1

