code,games,participants
TPE,1996 Summer,1

TPE,2012 Summer,1

TPE,2000 Summer,1

LIE,1980 Winter,1

MNE,2012 Summer,14

BDI,2016 Summer,1

VIE,2000 Summer,1

